

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
228.665  001.672  001.672: sourcing /Users/liuguangqi/.config/nvim/plugged/LeaderF/plugin/leaderf.vim
231.847  002.335  002.335: sourcing /Users/liuguangqi/.config/nvim/plugged/fzf/plugin/fzf.vim
234.710  001.910  001.910: sourcing /Users/liuguangqi/.config/nvim/plugged/fzf.vim/plugin/fzf.vim
236.174  000.883  000.883: sourcing /Users/liuguangqi/.config/nvim/plugged/tabular/plugin/Tabular.vim
238.769  002.037  002.037: sourcing /Users/liuguangqi/.config/nvim/plugged/tagbar/plugin/tagbar.vim
246.400  007.387  007.387: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdcommenter/plugin/NERD_commenter.vim
247.350  000.629  000.629: sourcing /Users/liuguangqi/.config/nvim/plugged/lightline.vim/plugin/lightline.vim
249.011  000.167  000.167: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/autoloclist.vim
249.281  000.165  000.165: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/balloons.vim
249.565  000.188  000.188: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/checker.vim
249.978  000.169  000.169: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/cursor.vim
250.247  000.166  000.166: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/highlighting.vim
250.512  000.168  000.168: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/loclist.vim
250.781  000.166  000.166: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/modemap.vim
251.038  000.154  000.154: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/notifiers.vim
251.286  000.145  000.145: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/registry.vim
251.752  000.362  000.362: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/signs.vim
253.817  001.425  001.425: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/autoload/syntastic/util.vim
263.447  000.110  000.110: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/autoloclist.vim
263.645  000.088  000.088: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/balloons.vim
264.081  000.362  000.362: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/checker.vim
264.288  000.123  000.123: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/cursor.vim
264.469  000.107  000.107: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/highlighting.vim
265.101  000.560  000.560: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/loclist.vim
265.344  000.120  000.120: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/modemap.vim
265.513  000.094  000.094: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/notifiers.vim
266.640  001.054  001.054: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/registry.vim
267.065  000.318  000.318: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic/signs.vim
268.800  016.945  012.586: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/plugin/syntastic.vim
270.181  000.495  000.495: sourcing /Users/liuguangqi/.config/nvim/plugged/lazygit.vim/plugin/lazygit.vim
272.691  000.876  000.876: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-gitgutter/autoload/gitgutter/utility.vim
274.764  000.959  000.959: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-gitgutter/autoload/gitgutter/highlight.vim
276.739  005.938  004.103: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-gitgutter/plugin/gitgutter.vim
280.111  003.084  003.084: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-fugitive/plugin/fugitive.vim
283.275  000.721  000.721: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/autoload/provider/pythonx.vim
448.053  001.267  001.267: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/autoload/remote/host.vim
448.215  166.502  164.513: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/autoload/provider/python3.vim
